 ,,,,,,,,,,Phys-Chem,,,,,,,Caco2 Ellinger,,,,Vero-E6 Zaliani ,,,,Vero-E6 Touret,HRCE Heiser,3CLPro Kuzikov,,Vero-E6 Riva,Bakowski,,,,SARS-CoV Pseudotyped particle entry Vero E6 - NCATS and PubChem (AID:1479145),,,,,SARS-CoV Pseudotyped particle entry Vero E6 (Tox counterscreen)- NCATS and PubChem (AID:1479150),,,,,,MERS Pseudotyped particle entry Huh7 - NCATS and PubChem (AID:1479149),,,,,MERS Pseudotyped particle entry Huh7 (Tox counterscreen) - NCATS and PubChem (AID:1479147),,,,,,"SARS-CoV-2 cytopathic effect (CPE) - NCATS, PubChem (AID:1508606) and Chen",,,,,,,"SARS-CoV-2 cytopathic effect (CPE)(Tox counterscreen) - NCATS, PubChem (AID:1508605) and Chen",,,,,,,,Activity ranks,PK/PD,,,,,,,Red Flags,,,,,,
BETHANECHOL CHLORIDE,Prokinetic,"Neuroactive ligand-receptor interaction, Cholinergic synapse, Gastric acid secretion","CHRM1, CHRM2, CHRM3, CHRM4",acetylcholine receptor agonist,,,,pKi,NC(=O)OC(C)C[N+](C)(C)C,196.678,-2.8196,2,1,3,52.32,1,,,,,,,,,,0.07337,,,,,,,,0,-4.509911624,0,0,Inactive,0,-7.708451783,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-10.02456742,0,0,Inactive,Inactive,0,-0.8736276185,,,,,,0,-21.82276324,,,,,,,0.7311935807,Oral; Subcutaneous,,,,,,,None,Hypersensitivity; hyperthyroidism; peptic ulcer; asthma; bradycardia; hypotension; AV conduction defects; CAD vasomotor instability; vagotonia; epilepsy; Parkinsonism; GI of GU obstruction; weak bladder wall; recent urinary bladder surgery; GI resection or anastomosis; spastic GI disturbances; HTN; obstructive pulmonary disease,Category B2,Use with caution,NA,,
PAPAVERINE HYDROCHLORIDE,"Antispasmodic, Smooth muscle relaxant, Vasodilator","Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway","PDE10A, PDE4B, PDE5A",phosphodiesterase inhibitor,,,7.7695,pIC50,COc1ccc(cc1OC)Cc1nccc2cc(OC)c(OC)cc12,375.852,4.2818,5,0,6,49.81,0,,,,,-0.24,,,,,0.03666,17.4,,,,,,,6.309573445,-165.60092,,,,7.943282347,-57.35432358,,,,,,,,,,,,,,,,0,-8.101621942,,,,,,0,-30.76905128,,,,,,,0.8955617247,,,~90%,1 L/kg,11 mL/min/kg,1.80 hours,28 %,None,Hypersensitivity; Complete AV block,Category B3,Use with caution,None,,
OXYMETAZOLINE HYDROCHLORIDE,Vasoconstrictor,"Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, HTR1B, HTR1D, HTR2C",adrenergic receptor agonist,,,,pKi,Cc1cc(c(O)c(C)c1CC1=NCCN1)C(C)(C)C,296.842,3.27254,3,2,2,44.62,0,,,,,0.07,,,,,0.2228,24.54,,,,,,,0,-11.59692265,0,0,Inactive,0,4.77084277,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0.0924169322,0,0,Inactive,Inactive,0,-2.828628313,,,,,,0,-2.257233181,,,,,,,0.3077977209,,60.5 ± 53.9 pg/mL,56.7-57.5%,,,,11 %,None,None,NA,Use with caution,None,,
PROBUCOL,Antihyperlipidemic,NA,"ABCA1, ABCB11, CES1",atherogenesis inhibitor,,,,,Oc1c(cc(cc1C(C)(C)C)SC(C)(C)Sc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C)C(C)(C)C,516.857,9.9083,4,2,4,40.46,0,2.84,,,,0.59,,,,0.2869,,26.51,,,,,,,7.079457844,-89.88755971,7.0795,36.9486,Inconclusive,0,4.879739045,0,0,Inactive,Inactive,0,-120.256949,0,0,Inactive,0,7.13969797,0,0,Inactive,Inactive,0,7.335153905,,,,,,0,-18.44881848,,,,,,,0.3445969443,Oral,,,,,"Ranges from 12 h - 500 h, the longest half-life probably being in adipose tissue.",5 %,NA,NA,Category B1,NA,NA,,
CHLORPROPAMIDE,"Antidiabetic, Hypoglycemic","ABC transporters, Insulin secretion","ABCC8, ABCC3, KCNJ10",ATP channel blocker,,,3.8761,pIC50,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,276.745,1.7379,3,2,4,75.27,0,4.33,,,,0.09,,,,0.09227,0.2087,13.38,,,,,,,0,-45.49609625,0,0,Inactive,0,12.11952663,0,0,Inactive,Inactive,0,-73.05797368,0,0,Inactive,0,0.2193005497,0,0,Inactive,Inactive,0,0.4868284397,,,,,,0,-24.50570053,,,,,,,0.4175027133,Oral,Peak plasma concentrations occur within 2-4 h,Highly bound to plasma,0.19 L/kg,0.05 mL/min/kg,46 hours,95 %,Dronabinol,"Type I diabetes; Diabetes ketoacidosis; Hypersensitivity, sulfa allergy; Severe renal impairment",Category C,Use with caution,None,,
PYRAZINAMIDE,Antibacterial (tuberculostatic),NA,FASN,fatty acid synthase inhibitor,,,,,NC(=O)c1cnccn1,123.115,-0.4245,3,1,1,68.87,0,44.3,,,,0,,,,0.01701,0.1788,14.28,,,,,,,0,-30.78405555,0,0,Inactive,0,9.294300246,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,10.61496308,0,0,Inactive,Inactive,0,-3.083092535,,,,,,0,-10.19210349,,,,,,,0.4386448283,Oral,,~10%,,,9-10 hours (normal conditions),90 %,None,Hepatic damage; acute gout; hypersensitivity,Category B2,Use with caution,NA,,
BENOXINATE HYDROCHLORIDE,Anesthetic (topical),Dopaminergic synapse,SCN1A,,,,5.54,pIC50,CCCCOc1cc(ccc1N)C(=O)OCCN(CC)CC,344.883,3.3681,5,1,10,64.79,0,,,,,,,,,,0.147,,,,,,,,14.12537545,-64.71148692,0,0,Inactive,0,0.8760637702,0,0,Inactive,Inactive,39.81071706,-13.03997395,39.8107,46.9747,Inconclusive,35.48133892,-10.96066512,35.4813,35.3339,Inconclusive,Cytotoxic,0,4.143924367,,,,,,0,-33.54502775,,,,,,,0.4403209629,,,,,,,,None,Hypersensitivity,NA,NA,NA,,
PROBENECID,"Anti-gout, Uricosuric",NA,"PANX1, SLC22A11, SLC22A6, SLC22A8, SLCO1C1",uricosuric blocker,,,5.2007,pIC50,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)O,285.365,2.1955,3,1,7,74.68,0,1.35,,,,0.08,,,,0.2093,,15.12,,,,,,,0,-42.62226298,0,0,Inactive,0,2.200630514,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,7.699700188,0,0,Inactive,Inactive,0,0.9786742257,,,,,,0,-35.35218372,,,,,,,0.4777739026,Oral,,75-95%,0.13 L/kg,0.25 mL/min/kg,5.90 hours,99 %,None,"Uric acid kidney stones, acute gouty arthritis; Hypersensitivity; Blood dyscrasias",Category B2,Use with caution,NA,,
TOLBUTAMIDE,"Antidiabetic, Hypoglycemic","ABC transporters, Insulin secretion","ABCC8, ABCC4, KCNJ1, KCNJ11, KCNJ8",ATP channel blocker,,,3.8761,pIC50,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,270.354,1.78302,3,2,5,75.27,0,3.6,,,,0.19,,,,-0.01112,,21.67,,,,,,,0,-1.606396107,0,0,Inactive,0,2.953090091,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-3.500377777,0,0,Inactive,Inactive,0,-2.976245871,,,,,,0,-14.98582329,,,,,,,0.5416696148,Oral,,95%,0.12 L/kg,0.21 mL/min/kg,7 hours,85 %,None,"Hypersensitivity, sulfa allergy; Type I diabetes, diabetic ketoacidosis",Category C,Use with caution,None,,
NAPHAZOLINE HYDROCHLORIDE,Vasoconstrictor,Neuroactive ligand-receptor interaction,"ADRA1A, ADRA2A, ADRA2B",adrenergic receptor agonist,,,11.9586,pIC50,C1CN=C(N1)Cc1cccc2ccccc12,246.741,2.8058,2,1,2,24.39,0,,,,,0.52,,,,,0.002061,12.64,,,,,,,0,-10.96023277,0,0,Inactive,0,3.477288401,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-3.682046748,,,,,,0,-1.014273075,,,,,,,0.5467946865,Nasal,,,"Distribution data for naphazoline are scarce but imidazoline compounds are distributed throughout the body, and can cross the blood-brain barrier[T530].",,Half life has not been determined but effects last for 4 to 8 hours.,,None,"Heart disease (incr BP, HR, palpitations); Narrow angle glaucoma",NA,,None,,
TOLAZAMIDE,"Antidiabetic, Hypoglycemic","ABC transporters, Insulin secretion","ABCC8, KCNJ1, KCNJ10, KCNJ11",ATP channel blocker,,,,,Cc1ccc(cc1)S(=O)(=O)NC(=O)NN1CCCCCC1,311.407,1.77392,4,2,3,78.51,0,8.18,,,,-0.15,,,,0.0131,0.157,32.71,,,,,,,0,-21.76094511,0,0,Inactive,0,8.29626065,0,0,Inactive,Inactive,0,2.448159297,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-2.03377317,,,,,,0,-21.41046166,,,,,,,0.5943998054,Oral,,,,,7 h,,None,Hypersensitivity; sulfa allergy; diabetic ketoacidosis; Type 1 diabetes,Category C,Not recommended,NA,,
NALIDIXIC ACID,Antibacterial,DNA synthesis/replication,,bacterial DNA gyrase inhibitor,,,,,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc12,232.239,1.42302,4,1,2,72.19,0,-0.44,,,,0.12,,,,,0.03233,12.92,,,,,,,0,-5.277969596,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-9.380491449,,,,,,0,-32.77548898,,,,,,,0.6268880154,Oral ,,93%,,,"1.1 to 2.5 hours in healthy adult patients, and up to 21 hours in patients with impaired renal function.",96 %,NA,NA,Category A,Use with caution,NA,,
CLOFIBRATE,Antihyperlipidemic,"PPAR signaling pathway, Adipocytokine signaling pathway","LPL, PPARA",PPAR receptor agonist,,,4.25,pIC50,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,242.702,3.0605,3,0,4,35.53,0,,,,,,,,,0.08504,0.007924,,,,,,,,0,-42.73835177,0,0,Inactive,0,1.45023801,0,0,Inactive,Inactive,0,-5.232052235,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,9.989019192,,,,,,0,-14.01831037,,,,,,,0.7680207289,Slow,,95-97%,,,18-22 h,95 %,NA,NA,Category B1,NA,NA,,
NEOSTIGMINE BROMIDE,Parasympathomimetic,"Glycerophospholipid metabolism, Cholinergic synapse",ACHE,acetylcholinesterase inhibitor,,,10.3665,pIC50,O=C(Oc1cccc(c1)[N+](C)(C)C)N(C)C,303.2,-1.0523,2,0,2,29.54,0,,,,,-0.14,,,,,0.1096,12.59,,,,,,,0,-24.4913318,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,1.779249603,0,0,Inactive,Inactive,0,10.70682813,,,,,,0,-1.074971516,,,,,,,0.7186772275,Oral,,,0.74 L/kg,9.20 mL/min/kg,1.30 hours,2 %,None,Hypersensitivity,Category B2,Use with caution,None,,
METHOCARBAMOL,Skeletal muscle relaxant,NA,CA1,muscle relaxant,,,7.6,pKi,COc1ccccc1OCC(O)COC(=O)N,241.243,0.5302,5,2,6,91.01,1,1.12,,,,-0.31,,,,0.09817,,10.07,,,,,,,0,-97.80945854,0,0,Inactive,0,-7.605414599,0,0,Inactive,Inactive,0,-6.760039393,0,0,Inactive,0,-14.84166346,0,0,Inactive,Inactive,0,1.871579725,,,,,,0,-23.49119365,,,,,,,0.7217427285,,,Methocarbamol is 46-50% protein bound in healthy patients and 47.3-48.9% protein bound in hemodialysis patients,"Volume of distribution data in humans is scarce. In horses, the volume of distribution is 515-942mL/kg at steady state or 724-1130mL/kg.[A178426]",0.2-0.8L/h/kg.[L6268],The elimination half life is 1.14 hours in healthy subjects and 1.24 hours in subjects with renal insufficiency.[A636] Older studies report half lives of 1.6-2.15 hours.[A178366],,None,Renal impairement,Category B3,Use with caution,None,,
ACETAZOLAMIDE,Antiglaucoma,Proximal tubule bicarbonate reclamation,"AQP1, CA1, CA12, CA14, CA2, CA3, CA4, CA7",carbonic anhydrase inhibitor,,,8.2365,pIC50,CC(=O)Nc1nnc(s1)S(=O)(=O)N,222.251,-0.8561,6,2,2,115.04,0,-4.52,,,,-0.12,,,,0.04502,0.1016,9.824,,,,,,,0,-80.91885086,0,0,Inactive,0,-7.430385095,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0.3515920448,0,0,Inactive,Inactive,0,1.814488279,,,,,,0,-20.63394837,,,,,,,0.7478637341,,,98%,0.37 L/kg,0.65 mL/min/kg,13 hours,99 %,None,Hypokalemia; Hyponatremia; Hyperchloremic acidosis; Hypersensitivity to acetazolamide or sulfa; Liver disease,Category B3,Use with caution,None,,
SULFADIAZINE,Antibacterial,Folate biosynthesis,"CA1, CA2, CA6",,,,4.5817,pIC50,Nc1ccc(cc1)S(=O)(=O)Nc1ncccn1,250.283,0.8596,5,2,3,97.97,0,-3.32,,,,-0.11,,,,-0.0006413,,15.43,,,,,,,0,2.174276948,0,0,Inactive,0,-3.885093,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-7.111555396,0,0,Inactive,Inactive,0,-13.92697388,,,,,,0,-10.30040041,,,,,,,0.7982198283,,,,0.29 L/kg,0.55 mL/min/kg,7 hours,90 %,None,Should not be used for group A beta-hemolytic strep infections,Category C,Use with caution,NA,,
PHENTOLAMINE HYDROCHLORIDE,Vasodilator,"Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction","ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C",adrenergic receptor antagonist,,,8.9586,pIC50,Cc1ccc(cc1)N(CC1=NCCN1)c1cccc(O)c1,317.82,3.26222,4,2,4,47.86,0,,,,,0.13,,,,,0.06841,14.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5529944785,,,,,42 mL/min/kg,2.50 hours,,None,Hypersensitivity; MI or other CAD,Category B1,Not recommended,NA,,
DOXYLAMINE SUCCINATE,Anti-allergic,"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",HRH1,histamine receptor antagonist,,,,,CN(C)CCOC(C)(c1ccccc1)c1ccccn1.OC(=O)CCC(=O)O,388.464,2.8591,5,2,9,99.96,1,3.91,,,,-0.02,,,,-0.01157,,2.832,,,,,,,4.466835922,-51.95276167,4.4668,40.9754,Inconclusive,0,1.688250662,0,0,Inactive,Inactive,0,-5.676281589,0,0,Inactive,0,5.992165961,0,0,Inactive,Inactive,0,-0.7168042477,,,,,,0,-32.36344052,,,,,,,0.6377924624,Oral,,,,,10 hours,,None,Hypersensitivity,Category A,Not recommended,NA,,
MEPENZOLATE BROMIDE,"Antispasmodic, Anti-ulcerative","Calcium signaling pathway, Neuroactive ligand-receptor interaction, Cholinergic synapse, Gastric acid secretion",CHRM3,acetylcholine receptor antagonist,,,,pKi,O=C(OC1CCC[N+](C)(C)C1)C(O)(c1ccccc1)c1ccccc1,420.347,-0.2915,3,1,4,46.53,1,,,,,,,,,,0.1869,,,,,,,,0,-9.325692207,0,0,Inactive,0,-3.867056641,0,0,Inactive,Inactive,0,-29.44461974,0,0,Inactive,0,9.452990098,0,0,Inactive,Inactive,0,1.113614768,,,,,,0,1.941499028,,,,,,,0.2848545637,Oral,,,,,,,NA,NA,NA,Use with caution,None,,
Gefitinib (ZD1839),Antineoplastic,"MAPK signaling pathway, ErbB signaling pathway,",EGFR,EGFR inhibitor,,,10,pIC50,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,446.91,4.2756,7,1,8,68.74,0,18.82,,,,9.07,,,,0.2901,0.178,19.63,,,,,,,12.58925412,-62.77745603,12.5893,99.3085,Active,39.81071706,-30.9409406,39.8107,66.8293,Inconclusive,Cytotoxic,39.81071706,-24.25680411,39.8107,83.1981,Inconclusive,39.81071706,-13.62499036,39.8107,46.7322,Inconclusive,Cytotoxic,0,-10.88521906,,,,,,11.22018454,-120.9162432,,,,,,,0.2314783236,Oral,,90% primarily to serum albumin and alpha 1-acid glycoproteins (independent of drug concentrations).,23 L/kg,12 mL/min/kg,34 hours,60 %,None,None,Category C,Not recommended,None,,
Rucaparib (AG-014699 or PF-01367338) phosphate,Antineoplastic,"Apoptosis, Necroptosis, Base excision repair","PARP1, PARP2",PARP inhibitor,,,9.301,pIC50,CNCc1ccc(cc1)c1[nH]c2cc(F)cc3C(=O)NCCc1c23.OP(=O)(O)O,421.365,2.0507,3,6,3,134.68,0,4.71,,,,1.02,,,,,,93.3,,,,,,,31.6227766,-24.74618247,,,,0,12.01377064,,,,,,,,,,,,,,,,0,20.55052547,,,,,,0,-12.29281642,,,,,,,0.275922578,Oral,1940 ng/mL,"In vitro, the protein binding of rucaparib was 70% in human plasma at therapeutic concentrations. Rucaparib preferentially distributed to red blood cells with a blood-to-plasma concentration ratio of 1.83","Following a single intravenous dose of 12mg to 40mg rucaparib, the steady-state volume of distribution was 113L to 262L [FDA Label].","Following continuous 600mg rucaparib administration orally twice daily, the apparent clearance ranges from 15.3 to 79.2 L/hour. The clearance ranged from 13.9 to 18.4 L/hour, following a single intravenous dose of rucaparib 12 mg to 40 mg [FDA Label].","Following a single oral dose of 600mg rucaparib, the mean terminal half life (t1/2) was 17-19 hours [FDA Label].",36%; range from 30% to 45%.,Finerenone; isavuconazonium sulfate; lonafarnib; voclosporin,None,NA,Not recommended,NA,,
ETC-1002,Antidyslipidemia,Citrate cycle (TCA cycle),,,,,5.69,pKi,OC(CCCCCC(C)(C)C(=O)O)CCCCCC(C)(C)C(=O)O,344.492,4.4699,3,3,14,94.83,0,-6.33,,,,0.09,,,,,0.1415,19.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5862585853,Oral,,The plasma protein binding of bempedoic acid and its metabolites is about 99%,The apparent volume of distribution of bempedoic acid is about 18L.[L12144],The clearance (CL/F) of bempedoic acid at steady state was estimated at 11.2 mL/min during clinical trials.[L12144],The half-life of bempedoic acid ranges between 15 and 24 hours.[A191877] Prescribing information indicates a clearance of 21 hours +/- 11 hours.[L12144],,NA,NA,NA,Not recommended,NA,,
Nifurtimox,Antiprotozoal,NA,HSPD1,DNA inhibitor,,,3.602,pIC50,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,287.297,0.6406,7,0,3,106.02,1,,,,,,,,,0.8408,0.1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.180892678,Oral,425-568 μg/L- 20 mg single dose,The plasma protein binding of nifurtimox is approximately 42%.[L15361] It is primarily bound to albumin.[A216931],"Nifurtimox crosses the blood-brain barrier and the placenta.[A216931,L15361]",One pharmacokinetic study of nifurtimox revealed a clearance of 193.4 l∙h-1. In patients without renal failure| clearance was 99.7 l∙h-1.[A217936],The elimination half-life of nifurtimox ranges from 2.4–3.6 hours.[L15361] A pharmacokinetic study of healthy volunteers and patients with renal failure revealed respective mean half-lives of 2.95 h and 3.95 h.[A217936],,None,Hypersensitivity; alcohol consuption during treatment,NA,Use with caution,NA,,
Rimegepant,Antimigraine,Neuroactive ligand-receptor interaction,CALCA,calcitonin antagonist,,,10.56,pKi,N[C@@H]1c2cccnc2[C@H](OC(=O)N2CCC(n3c(=O)[nH]c4ncccc43)CC2)CC[C@H]1c1cccc(F)c1F,534.567,4.49,7,2,3,119.13,3,2.52,,,,0.23,,,,,0.2662,37.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.914579925,,,,,,0,-22.05933578,,,,,,,0.3007147727,Oral,,Rimegepant is approximately 96% plasma protein-bound.[L11971] The specific proteins to which rimegepant binds have not been elucidated.,"At steady state, the volume of distribution is approximately 120 L.[L11971]",,The elimination half-life in healthy subjects is approximately 11 hours.[L11971],0.64,None,Hypersensitivity,NA,Not recommended,None,,
Moxonidine,Antihypertensive,"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction","ADRA2A, ADRA2B, ADRA2C",imidazoline receptor agonist,,,,,COc1nc(C)nc(Cl)c1NC1=NCCN1,241.682,0.81812,6,2,2,71.43,0,,,,,0.05,,,,0.9675,0.157,19.01,,,,,,,0,-1.972047955,0,0,Inactive,0,-4.571446414,0,0,Inactive,Inactive,0,1.899039839,0,0,Inactive,0,2.379901489,0,0,Inactive,Inactive,0,0.0607491661,,,,,,0,-28.34341794,,,,,,,0.3023549532,Oral,,About 10% of moxonidine is bound to plasma proteins. [FDA label],1.80 L/kg,11 mL/min/kg,2.20 hours,88 %,NA,NA,Category B3,Use with caution,NA,,
Lubiprostone,"Peristaltic accelerator, Softener,",Mineral absorption,CLCN2,chloride channel activator,,,,,CCCCC(F)(F)C(=O)CC[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,390.467,4.1525,4,2,14,91.67,3,15.74,,,,0.06,,,,,,4.135,,,,,,,0.316227766,-137.3361044,0.3162,33.381,Inconclusive,0,-0.5006994453,0,0,Inactive,Inactive,0,-18.30548514,0,0,Inactive,0,1.110682404,0,0,Inactive,Inactive,0,-6.62631798,,,,,,0,-41.34699071,,,,,,,0.3353151279,Oral,,94%,,,0.9 to 1.4 hours,,None,Hypersensitivity,NA,use with caution,None,,
Capmatinib,Antineoplastic,"Ras signaling pathway, PI3K-Akt signaling pathway",,,,,,,CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F,412.428,3.429,6,1,4,85.07,0,1.59,,,,1.09,,,,,,8.178,,,,,,,39.81071706,-9.18247318,,,,0,0,,,,,,,,,,,,,,,,0,5.29026748,,,,,,0,-27.65320488,,,,,,,0.3414023231,Oral,,Plasma protein binding is approximately 96% and is independent of drug serum concentration.[L13347],The apparent volume of distribution at steady-state is 164 L.[L13347],The mean apparent clearance of capmatinib at steady-state is 24 L/h.[L13347],The elimination half-life is 6.5 hours.[L13347],>70%.,None,NA,NA,Not recommended,NA,,
Cinnarizine,"Anti-emetic, Antivertigo","Calcium signaling pathway, Neuroactive ligand-receptor interaction",,,,,,,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,368.524,5.107,2,0,6,6.48,0,5.27,,,,-0.1,,,,0.6874,0.3702,31.02,,,,,,,1.77827941,-46.72737001,0.7943,37.7759,Inconclusive,0,3.330601675,0,0,Inactive,Inactive,3.16227766,-223.2866898,0,0,Inactive,0,4.823314883,0,0,Inactive,Inactive,0,1.614210273,,,,,,0,-38.41020557,,,,,,,0.3429925699,Oral,,,,,,,NA,NA,NA,Not recommended,NA,,
Tedizolid,Antibacterial,Ribosome- protein biosynthesis,,bacterial 50S ribosomal subunit inhibitor,,,,,Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,370.344,1.3957,8,1,4,106.26,1,11.24,,,,0.01,,,,,0.1987,14.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3500974765,Oral; parenteral,"2.0 ± 0.7 (oral administration)
 2.3 ± 0.6 (intravenous administration)","Approximately 70 to 90% of tedizolid is bound to human plasma proteins.[L11232, A199050, A199152, A199155]","The volume of distribution for tedizolid following a single intravenous dose of 200 mg is between 67 and 80 L.[L11232] In a study involving oral administration of 200 mg tedizolid to steady-state, the volume of distribution was 108 ± 21 L, while a single 600 mg oral dose resulted in an apparent volume of distribution of 113.3 ± 19.3 L.[A199152, A199155] Tedizolid has been observed to penetrate the interstitial space of both adipose and skeletal muscle tissue and is also found in the epithelial lining fluid as well as in alveolar macrophages.[L11232, A199152, A199155]","Tedizolid has an apparent oral clearance of 6.9 ± 1.7 L/hr for a single dose and 8.4 ± 2.1 L/hr at steady-state. The systemic clearance is 6.4 ± 1.2 L/hr for a single dose and 5.9 ± 1.4 L/hr at steady-state.[L11232, A199140, A7642]","Tedizolid has a half-life of approximately 12 hours.[L11232, A199140, A7642]",0.91,Cyproheptadiene,NA,NA,Use with caution,NA,,
Treprostinil,"Anticoagulant, Antihypertensive, Vasodilator","Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction, Platelet activation","P2RY12, PPARD, PTGIR",prostanoid receptor agonist,,,8.72,pEC50,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O,390.52,3.5832,4,3,10,86.99,5,,,,,0.12,,,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3691869661,Oral; subcutaneous,,"Human plasma protein binding is approximately 91% in in vitro concentrations ranging from 330 to 10,000 &micro;/L.",0.23 L/kg,10.70 mL/min/kg,0.82 hours,~100 % (subcutaneous),None,Severe hepatic impairement,Category B3,Use with caution,None,,
Amisulpride,Antipsychotic,"Neuroactive ligand-receptor interaction, Dopaminergic synapse",DRD2,dopamine receptor antagonist,,,8.55,pKi,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,369.487,1.2851,6,2,7,101.73,1,9.47,,,,0.03,,,,0.09462,0.2622,22.02,,,,,,,0,-11.83258764,0,0,Inactive,0,-41.85628561,0,0,Inactive,Inactive,0,3.042740981,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,2.918712589,,,,,,0,-1.444791098,,,,,,,0.3802396818,Oral; Parenteral,"39 ± 3 and 54 ± 4 ng/mL (50 mg dose)
",Plasma protein binding ranges from 25% to 30% in the concentration range from 37 to 1850 ng/mL. Amisulpride distributes into erythrocytes,"Following oral administration, the volume of distribution is 5.8 L/kg. Following intravenous infusion, the mean volume of distribution of amisulpride is estimated to be 127 to 144 L in surgical patients and 171 L in healthy subjects.",The plasma clearance of amisulpride is 20.6 L/h in surgical patients and 24.1 L/h in healthy subjects following intravenous administration. Renal clearance was estimated to be 20.5 L/hr (342 mL/min) in healthy subjects.,Approximately 12 hours,48 %,None,Hypersensitivity,Category C,Not recommended ,NA,,
Agomelatine,Antidepressant,"Neuroactive ligand-receptor interaction, Circadian entrainment, Serotonergic synapse","HTR2A, HTR2B, HTR2C, MTNR1A, MTNR1B","melatonin receptor agonist, serotonin receptor antagonist",,,10.22,pKi,COc1ccc2cccc(CCNC(C)=O)c2c1,243.306,2.527,2,1,4,38.33,0,42.24,,,,-0.03,,,,,0.1484,14.2,,,,,,,0,-3.138230543,0,0,Inactive,0,-2.555753991,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,-3.976563136,0,0,Inactive,Inactive,0,0.0987748557,,,,,,0,-6.490698419,,,,,,,0.3878803472,Oral,,> 95%,,,<2 hours,< 5%,NA,NA,Category B1,Not recommended,None,,
Nitisinone,Antityrosinemia,"Ubiquinone and other terpenoid-quinone biosynthesis, Tyrosine metabolism, Phenylalanine metabolism",,hydroxyphenylpyruvate dioxygenase inhibitor,,,,,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],329.23,2.7346,5,0,3,94.35,0,,,,,-0.1,,,,,0.2981,24.42,,,,,,,39.81071706,-131.7900216,39.8107,59.6712,Inconclusive,0,0,0,0,Inactive,Inactive,0,0,0,0,Inactive,0,0,0,0,Inactive,Inactive,0,-0.2332275721,,,,,,0,-18.59799257,,,,,,,0.4163137943,Oral,,,,,~54 hours,90 %,NA,NA,Category B3,Not recommended,NA,,
